slide_name,permissible_angle,slide_width_um,scanner_name,time_stamp,slide_id,load_identifier,x_offset_um,y_offset_um,row_index,col_index,row_col
H01CBA06P_95115,3.907606684,25679.5,H01CBA06P,2021-04-11T07:01:29,95115,CS002-3-1618117995424,,,1,15,"1,15"
H01CBA02P_95261,4.518328355,25387.8,H01CBA02P,2021-04-11T07:03:22,95261,CS002-1-1618118000086,,,2,11,"2,11"
H01CBA06P_95116,3.979310711,25217.5,H01CBA06P,2021-04-11T07:04:01,95116,CS002-3-1618117995424,,,1,16,"1,16"
H01CBA05P_95370,4.476768473,25623,H01CBA05P,2021-04-11T07:04:39,95370,CS002-2-1618118012311,,,2,0,"2,0"
H01CBA02P_95263,4.51133037,25427.1,H01CBA02P,2021-04-11T07:05:41,95263,CS002-1-1618118000086,,,2,13,"2,13"
H01CBA06P_95117,3.937166696,25487,H01CBA06P,2021-04-11T07:06:20,95117,CS002-3-1618117995424,,,1,17,"1,17"
H01CBA05P_95371,4.532066731,25311,H01CBA05P,2021-04-11T07:06:58,95371,CS002-2-1618118012311,,,2,1,"2,1"
H01CBA02P_95265,4.57510448,25073.4,H01CBA02P,2021-04-11T07:08:01,95265,CS002-1-1618118000086,,,2,15,"2,15"
H01CBA05P_95372,4.50424771,25467,H01CBA05P,2021-04-11T07:08:37,95372,CS002-2-1618118012311,,,2,2,"2,2"
H01CBA02P_95267,4.51133037,25427.1,H01CBA02P,2021-04-11T07:09:40,95267,CS002-1-1618118000086,,,2,17,"2,17"
H01CBA05P_95373,4.553157793,25194,H01CBA05P,2021-04-11T07:10:17,95373,CS002-2-1618118012311,,,2,3,"2,3"
H01CBA02P_95269,4.560776957,25152,H01CBA02P,2021-04-11T07:11:20,95269,CS002-1-1618118000086,,,2,19,"2,19"
H01CBA05P_95374,4.49734629,25506,H01CBA05P,2021-04-11T07:11:57,95374,CS002-2-1618118012311,,,2,4,"2,4"
H01CBA06P_95118,3.985405109,25179,H01CBA06P,2021-04-11T07:12:35,95118,CS002-3-1618117995424,,,1,18,"1,18"
H01CBA02P_95270,4.532389727,25309.2,H01CBA02P,2021-04-11T07:13:15,95270,CS002-1-1618118000086,,,2,20,"2,20"
H01CBA05P_95375,4.532066731,25311,H01CBA05P,2021-04-11T07:13:52,95375,CS002-2-1618118012311,,,2,5,"2,5"
